UN_Unit,Unit_Reference,Unit_Location,Type_Description,Road_Name,GISEasting,GISNorthing,Elexon_Lamp_Unit_Type
212673,LC174,JUNC ST JOHNS ST,Lamp Column,Owen Street,531494.6123,183022.0486,LED
212674,CC580,Junc biggerstaff st,Lamp Column,Pooles Park,531062.0921,186669.8261,LED
212675,CC581,NEAR JUNC CARVILLE ROAD,Lamp Column,Pooles Park,531059.5817,186654.926,LED
212676,CC582,O/S SIX ACRES PLAZA,Lamp Column,Pooles Park,531073.9694,186648.1466,LED
212677,CC583,O/S 13,Lamp Column,Pooles Park,531073.6469,186630.4116,LED
212678,CC584,OPP 15,Lamp Column,Pooles Park,531089.3166,186622.1812,LED
212679,CC587,OPP 11,Lamp Column,Pooles Park,531100.2859,186582.0971,LED
212680,CC589,OPP2,Lamp Column,Pooles Park,531121.282,186569.5056,LED
212681,CC590,JUNC SEVEN SISTERS RD,Lamp Column,Pooles Park,531118.9041,186552.83,LED
212682,CC588,JUNC POOLES PARK,Lamp Column,Carville Street,531064.4145,186636.8567,LED
212683,CC591,O/S 1-36 PINEFIELD,Lamp Column,Carville Street,531045.1365,186635.7915,LED
212684,CC592,O/S 1-36 PINEFEILD,Lamp Column,Carville Street,531028.8003,186623.609,LED
212685,CC593,O/S 1-20 HONEYFIELD,Lamp Column,Carville Street,531028.5786,186613.1886,LED
212692,LC1187,UNDER BRIDGE,Lamp Column,Warner Street,531126.3166,182198.5976,LED
212693,LC1188,O/S FIRE STATION,Lamp Column,Rosebery Avenue,531171.8962,182335.1485,LED
212694,MC830,O/S TENNIS COURT,Lamp Column,Central Street,532158.4185,182517.4305,SON
212695,MC831,O/S TENNIS COURT,Lamp Column,Central Street,532167.3512,182488.2216,SON
212696,LC1185,REAR OF LC998,Lamp Column,Clerkenwell Road,531902.3343,182142.097,LED
212697,LC1333,REAR OF LC 897,Lamp Column,Clerkenwell Road,531919.5738,182151.5937,LED
212698,LC1186,O/S 7-15,Lamp Column,Rosebery Avenue,531121.192,182225.5571,LED
212699,AC1103,OPP HOSPITAL ENTRANCE,Lamp Column,Magdala Avenue,529173.4837,186895.2905,LED
212700,AC1102,OPP 1-48,Lamp Column,Magdala Avenue,529174.2899,186913.3804,LED
212701,AC1134,O/S DEPOT,Lamp Column,Station Road,529351.1613,186155.4843,LED
212702,BC717,1st COLUMN FROM GIESBACH ROAD,Lamp Column,Wallace Rd,529527.9041,186923.4037,SON
212703,BC718,2nd COLUMN FROM GIESBACH RD,Lamp Column,Wallace Rd,529512.0327,186930.9527,SON
212704,BC719,3rd COLUMN FROM GIESBACH RD,Lamp Column,Wallace Rd,529495.8775,186933.4997,SON
212708,AC534,JNUC DALMENY RD,Lamp Column,Carleton Road,529828.1633,185585.7915,LED
212715,EC726,SIDE OF 12,Lamp Column,Hercules Street,530420.6756,186166.1159,LED
212716,EC727,OPP 22,Lamp Column,Hercules Street,530429.0614,186150.1199,LED
212718,EC400,JUNC TOLLINGTON PARK,Lamp Column,Thane Villas,531046.556,186205.3429,LED
212719,EC401,JUNC TOLLINGTON ROAD,Lamp Column,Thane Villas,531026.3631,186195.3271,LED
212723,EC600,OPP ROUNDABOUT,Lamp Column,Hornsey Road (area E Majority),531088.9041,185594.3755,LED
212724,EC408,OPP ROUNDABOUT,Lamp Column,Hornsey Road (area E Majority),531098.5124,185587.5516,LED
212725,EC612,O/S EMIRATES STADIUM,Lamp Column,Hornsey Road (area E Majority),531117.1841,185589.4042,LED
212726,CC594,END OF CARVILLE ROAD,Lamp Column,Carville Street,531009.9635,186610.2539,LED
212730,LC1148,ON WALL OF 55,Lamp Column,Rawstorne Street,531622.8715,182806.2272,CPO-TW
212744,GC209,O/S 3,Lamp Column,Aberdeen Lane,532145.2089,185265.8855,LED
212745,MC834,JUNC CHEQUER STREET,Lamp Column,Cahill Street,532485.7468,182211.3845,SON
212746,GC580,OPP 23/25,Lamp Column,St Jude Street,533362.9309,185054.4249,LED
212748,MC800,O/S 17,Lamp Column,Charterhouse Bldgs,531997.0001,182150.2272,SON
212752,EC1158,O/S ELTON HOUSE,Lamp Column,Leigh Road,531865.3937,185544.1446,LED
212753,GC698,OPP 27-45,Lamp Column,Mildmay Avenue,532813.3415,184974.442,LED
212754,GC699,OPP 27-45,Lamp Column,Mildmay Avenue,532826.6698,184973.5016,LED
212755,GC700,OPP 64,Lamp Column,Mildmay Avenue,532846.662,184971.5669,LED
212756,KC1071,O/S 4-14,Lamp Column,Graham Street,532042.7409,183012.2846,LED
212757,GC701,O/S 1-26,Lamp Column,Mildmay Avenue,532802.7102,184973.7108,LED
212758,KC1111,OPP 4-14,Lamp Column,Graham Street,532015.7527,183049.2441,SON
212764,LC1152A,O/S 32 TO 38,Lamp Column,Meredith Street,531559,182638.7188,LED
212766,LC804A,,Lamp Column,Rosoman Street,531363.6868,182531.8016,LED
212767,LC347A,,Lamp Column,Gwynne Place,530902.625,182601.1846,LED
212768,LC745A,,Lamp Column,Garnault Place,531365.9623,182604.6327,LED
212769,LC979A,,Lamp Column,Spencer Street,531807.25,182772.5469,LED
212770,LC967A,,Lamp Column,Spencer Street,531577.25,182691.9375,LED
212771,LC123A,,Lamp Column,St John Street,531633.125,182550.9375,LED
212772,LC121A,,Lamp Column,St John Street,531638.2265,182537.2648,LED
212773,LC115A,,Lamp Column,St John Street,531623.625,182514.2969,LED
212774,LC120A,,Lamp Column,St John Street,531624.0099,182536.7494,LED
212775,LC122A,,Lamp Column,St John Street,531616.1875,182550.5156,LED
212776,DC252A,,Lamp Column,Liverpool Road (area D North),531235.1875,184783.878,LED
212777,KC1063A,,Lamp Column,Elder Walk,531961.7548,183885.8594,LED
212778,MC335A,,Lamp Column,Goswell Road,532025.2076,182190.1233,LED
212779,MC362A,,Lamp Column,Goswell Road,531890.2599,182568.3471,LED
212780,MC361A,,Lamp Column,Goswell Road,531895.3939,182545.7554,LED
212781,KC536A,,Lamp Column,Liverpool Road (area K South),531394.8125,184353.2969,LED
212782,KC535A,,Lamp Column,Liverpool Road (area K South),531399.6875,184335.7031,LED
212783,KC505A,,Lamp Column,Liverpool Road (area K South),531388.4906,183783.6875,LED
212784,KC502A,,Lamp Column,Liverpool Road (area K South),531387.1875,183738.6719,LED
212785,KC484A,,Lamp Column,Liverpool Road (area K South),531387.5,183436.75,LED
212786,LC1093A,,Lamp Column,Rosebery Avenue,531493.8807,182886.507,LED
212787,LC1094A,,Lamp Column,Rosebery Avenue,531495.6455,182867.0825,LED
212788,LC1116A,,Lamp Column,Rosebery Avenue,531228.4057,182501.0195,LED
212789,DC456A,,Lamp Column,Mackenzie Road,530860.9375,184978.4375,LED
212790,DC697A,,Lamp Column,Stock Orchard Street,530598.8161,185151.6516,LED
212791,LC1072,,Lamp Column,Leonard Street,532809.5756,182368.4441,LED
212792,CC600,JUNC DURHAM ROAD,Lamp Column,Moray Road,530853.5164,186810.3558,SON
212793,DC704A,,Lamp Column,Warlters Close,530428.75,185769.0007,LED
212795,KC1042A,,Lamp Column,New North Road,532359.9375,183939.3125,LED
212796,AC1138A,,Lamp Column,Brecknock Road,529146.7463,185853.0719,LED
212797,AC903A,,Lamp Column,Brecknock Road,529705.5,185178.8594,LED
212798,AC904A,,Lamp Column,Brecknock Road,529700.5319,185201.8632,LED
212799,AC947A,,Lamp Column,Brecknock Road,529317.6952,185651.3962,LED
212800,BC305A,,Lamp Column,Grovedale Road,529552.6875,186906.8438,LED
212803,LC0993A,,Lamp Column,Bath Street,532538.625,182467.5938,LED
212804,JC1153A,,Lamp Column,Penton Street,531094.2235,183205.7568,LED
212805,JC1160A,,Lamp Column,Penton Street,531085.1372,183302.3962,LED
212806,JC1165A,,Lamp Column,Penton Street,531079.75,183358.0938,LED
212807,AC684A,,Lamp Column,Dartmouth Park Hill,529140.25,185880.5,LED
212808,AC1116A,,Lamp Column,Magdala Avenue,528949.9106,186804.4682,LED
212809,EC753A,,Lamp Column,Drayton Park,531233.907,185290.8895,LED
212810,EC751A,,Lamp Column,Drayton Park,531225.5312,185280.2359,LED
212811,EC777A,,Lamp Column,Drayton Park,531476.8125,185509.5,LED
212812,EC779A,,Lamp Column,Drayton Park,531472.3125,185530.5938,LED
212813,EC767A,,Lamp Column,Drayton Park,531430.4396,185397.7064,LED
212814,GC403A,,Lamp Column,Highbury Grove,531941.9375,184818.125,LED
212819,MC051A,,Lamp Column,Old Street,532030.6875,182208.9531,LED
212820,MC057A,,Lamp Column,Old Street,532191.5395,182305.6283,LED
212821,MC058A,,Lamp Column,Old Street,532216.144,182318.7089,LED
212822,CC282A,,Lamp Column,Tollington Park,530659.5625,186817.0469,LED
212823,CC503A,,Lamp Column,Wray Crescent,530467.875,186939.4063,LED
212824,CC504A,,Lamp Column,Wray Crescent,530482.1875,186949.0313,LED
212825,CC315A,,Lamp Column,Evershot Road,530899.3125,187080.5313,LED
212826,LC078A,,Lamp Column,St John Street,531770.0475,182095.0726,LED
212839,CC208A,,Lamp Column,Fonthill Road,530983.375,186995.8125,LED
