X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
355814.259955953,405380.410023935,35130,2863,44120519,Sherwood Drive,057998,0025,L,O/S 127,6,BE
356079.999968575,407333.540016703,35131,455,44100491,Browning Grove,057999,0005,L,O/S 17/19,6,BE
369052.129984718,402398.509982303,35132,311,44100330,Blandford Close,058000,0006,L,O/S 15,6,BE
363387.770015676,404175.259966694,35133,3794,44103951,Glenmaye Grove,058001,0002,L,O/S 2,6,BE
360016.229955536,405241.490017336,35134,4636,44100655,Charles Street,058002,0001,L,O/S SCHOOL PLAY GROUND,6,BE
357033.150013847,401633.920045987,35135,3916,44104065,Dovedale Road,058003,0008,L,O/S 11,6,BE
355556.690043719,411293.590004796,35136,2535,44102655,Preston Road,058004,0040,L,O/S 319/321,10,BE
355531.810042538,411363.080008097,35137,2535,44102655,Preston Road,058005,0042,L,OPP 337/339,10,BE
355527.470042331,411398.510009779,35138,2535,44102655,Preston Road,058006,0043,L,OPP 339,10,BE
355519.46004195,411469.480013151,35139,2535,44102655,Preston Road,058007,0045,L,O/S 376/378,10,BE
355513.520041669,411547.900016874,35140,2535,44102655,Preston Road,058008,0047,L,OPP 387/389,10,BE
355506.900041354,411623.750020478,35141,2535,44102655,Preston Road,058009,0049,L,OPP 403,10,BE
355503.970041215,411740.920026043,35142,2535,44102655,Preston Road,058010,0052,L,REFER OSP,10,BE
355501.410041094,411853.540031392,35143,2535,44102655,Preston Road,058011,0055,L,REFER OSP,10,BE
355501.050041077,411928.620034957,35144,2535,44102655,Preston Road,058012,0057,L,REFER OSP,10,BE
355534.990042688,411436.310011575,35145,2535,44102655,Preston Road,058013,0044,L,REFER OSP,10,BE
355535.260042701,411325.080006292,35146,2535,44102655,Preston Road,058014,0041,L,O/S 356,10,BE
355526.39004228,411512.050015172,35147,2535,44102655,Preston Road,058015,0046,L,O/S 377/379,10,BE
355521.090042029,411585.960018683,35148,2535,44102655,Preston Road,058016,0048,L,O/S 393/395,10,BE
355515.610041768,411667.59002256,35149,2535,44102655,Preston Road,058017,0050,L,REFER OSP,10,BE
355513.660041675,411701.140024154,35150,2535,44102655,Preston Road,058018,0051,L,O/S 419,10,BE
355512.850041637,411818.57002973,35151,2535,44102655,Preston Road,058019,0054,L,REFER OSP,10,BE
355510.900041544,411889.080033081,35152,2535,44102655,Preston Road,058020,0056,L,REFER OSP,10,BE
355513.670041676,411962.000036543,35153,2535,44102655,Preston Road,058021,0058,L,REFER OSP,10,BE
355517.820041873,412080.610042177,35154,2535,44102655,Preston Road,058022,0061,L,REFER OSP,10,BE
355523.920042163,412041.380040314,35155,2535,44102655,Preston Road,058023,0060,L,REFER OSP,10,BE
355550.030043403,412169.020046376,35156,2535,44102655,Preston Road,058024,0064,L,REFER OSP,10,BE
355554.230043602,412202.560047969,35157,2535,44102655,Preston Road,058025,0065,L,REFER OSP,10,BE
355556.850043727,412229.95004927,35158,2535,44102655,Preston Road,058026,0066,L,REFER OSP,10,BE
